fixture,operation,variant,runtime,option,source,max_abs,mean_abs,unequal,nonfinite_pattern_difference,elements
primitives_8x5,sf,native,python,0,1,0.0,0.0,0,0,40
primitives_8x5,sf,native,python,0,2,0.0,0.0,0,0,40
primitives_8x5,sf,native,python,0,3,4.0,2.05,28,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,0,3,4.0,2.05,28,0,40
primitives_8x5,sf,native,python,1,1,4.0,3.275,40,0,40
primitives_8x5,sf,native,python,1,2,4.0,3.15,40,0,40
primitives_8x5,sf,native,python,1,3,7.0,3.125,31,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,1,1,4.0,3.275,40,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,1,2,4.0,3.15,40,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,1,3,7.0,3.125,31,0,40
primitives_8x5,sf,native,python,2,1,2.0,1.3,40,0,40
primitives_8x5,sf,native,python,2,2,2.0,1.475,40,0,40
primitives_8x5,sf,native,python,2,3,6.0,2.025,24,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,2,1,2.0,1.3,40,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,2,2,2.0,1.475,40,0,40
primitives_8x5,sf,native,octave_inverse_and_scaling,2,3,6.0,2.025,24,0,40
primitives_8x5,sf,octave_decomposition,python,0,1,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,0,2,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,0,3,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,0,1,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,0,2,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,0,3,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,1,1,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,1,2,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,1,3,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,1,1,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,1,2,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,octave_inverse_and_scaling,1,3,0.0,0.0,0,0,40
primitives_8x5,sf,octave_decomposition,python,2,1,0.0,0.0,0,0,40
